200	品	13263	0.1121577552
201	式	13253	0.1120731908
202	活	13160	0.1112867420
203	設	13075	0.1105679446
204	及	13071	0.1105341189
205	管	13018	0.1100859276
206	特	12997	0.1099083423
207	件	12992	0.1098660601
208	求	12924	0.1092910223
209	老	12882	0.1089358518
210	頭	12823	0.1084369219
211	基	12619	0.1067118083
212	資	12554	0.1061621397
213	邊	12480	0.1055363632
214	流	12369	0.1045976984
215	路	12364	0.1045554162
216	級	12311	0.1041072249
217	少	12267	0.1037351416
218	圖	12196	0.1031347344
219	山	12193	0.1031093651
220	統	12143	0.1026865431
221	接	12115	0.1024497628
222	知	12083	0.1021791568
223	較	12013	0.1015872060
224	將	11972	0.1012404920
225	組	11963	0.1011643840
226	見	11962	0.1011559276
227	計	11920	0.1008007572
228	別	11902	0.1006485412
229	她	11893	0.1005724333
230	手	11757	0.0994223575
231	角	11737	0.0992532288
232	期	11708	0.0990079920
233	根	11698	0.0989234276
234	論	11693	0.0988811454
235	運	11675	0.0987289295
236	農	11623	0.0982891947
237	指	11520	0.0974181814
238	幾	11456	0.0968769693
239	九	11430	0.0966571019
240	區	11409	0.0964795166
241	強	11329	0.0958030015
242	放	11326	0.0957776322
243	決	11323	0.0957522629
244	西	11322	0.0957438064
245	被	11311	0.0956507856
246	做	11181	0.0945514485
247	必	11131	0.0941286265
248	戰	11040	0.0933590905
249	先	10988	0.0929193557
250	則	10885	0.0920483424
251	任	10797	0.0913041758
252	取	10737	0.0907967894
253	據	10714	0.0906022913
254	回	10688	0.0903824239
255	給	10647	0.0900357099
256	調	10629	0.0898834939
257	處	10611	0.0897312780
258	隊	10590	0.0895536928
259	南	10543	0.0891562402
260	色	10477	0.0885981152
261	光	10427	0.0881752932
262	門	10372	0.0877101890
263	即	10355	0.0875664296
264	保	10325	0.0873127364
265	治	10309	0.0871774333
266	北	10282	0.0869491095
267	造	10274	0.0868814580
268	百	10246	0.0866446777
269	規	10109	0.0854861455
270	熱	10075	0.0851986265
271	領	10071	0.0851648008
272	七	10069	0.0851478879
273	海	9985	0.0844375470
274	口	9913	0.0838286834
275	東	9909	0.0837948576
276	導	9901	0.0837272061
277	器	9863	0.0834058614
