198	立	271915	0.1050462525
199	声	268157	0.1035944613
200	南	265435	0.1025428977
201	代	262935	0.1015770973
202	走	261360	0.1009686430
203	女	261223	0.1009157171
204	言	261011	0.1008338173
205	马	260992	0.1008264772
206	金	260759	0.1007364646
207	处	260074	0.1004718352
208	便	260027	0.1004536782
209	通	259794	0.1003636656
210	命	259572	0.1002779025
211	特	258777	0.0999707780
212	给	258770	0.0999680737
213	数	258367	0.0998123867
214	次	257687	0.0995496890
215	海	257683	0.0995481437
216	今	255280	0.0986198163
217	表	253700	0.0980094304
218	原	252921	0.0977084870
219	斯	252553	0.0975663212
220	义	251400	0.0971208940
221	各	251121	0.0970131106
222	州	250213	0.0966623319
223	化	249950	0.0965607297
224	口	248531	0.0960125414
225	任	247884	0.0957625922
226	真	247861	0.0957537069
227	才	247684	0.0956853282
228	几	246354	0.0951715223
229	教	246018	0.0950417188
230	官	245501	0.0948419912
231	少	244389	0.0944124032
232	司	243171	0.0939418652
233	德	241664	0.0933596807
234	解	241482	0.0932893704
235	神	240679	0.0929791553
236	则	240668	0.0929749058
237	必	240301	0.0928331263
238	兵	239668	0.0925885856
239	气	239284	0.0924402386
240	打	234961	0.0907701765
241	员	231929	0.0895988537
242	再	231643	0.0894883661
243	论	230429	0.0890193734
244	别	230248	0.0889494495
245	听	229502	0.0886612546
246	提	228659	0.0883355867
247	万	225020	0.0869297676
248	死	224342	0.0866678425
249	更	224311	0.0866558665
250	比	223847	0.0864766140
251	受	223405	0.0863058605
252	百	222693	0.0860308005
253	做	222207	0.0858430489
254	尔	221448	0.0855498319
255	即	219756	0.0848961781
256	元	219138	0.0846574322
257	报	218668	0.0844758618
258	直	217947	0.0841973249
259	白	217439	0.0840010742
260	总	217392	0.0839829172
261	非	214873	0.0830097767
262	建	214355	0.0828096628
263	夫	214198	0.0827490105
264	北	213780	0.0825875287
265	未	212384	0.0820482257
266	张	212169	0.0819651669
267	令	212038	0.0819145589
268	反	211868	0.0818488845
269	士	210778	0.0814277955
270	师	210062	0.0811511903
271	许	209335	0.0808703355
272	条	208509	0.0805512350
273	变	208335	0.0804840153
274	系	206564	0.0797998423
275	计	206493	0.0797724135
276	且	206487	0.0797700956
277	认	205316	0.0793177147
278	目	204611	0.0790453589
279	光	203558	0.0786385638
280	管	203142	0.0784778546
281	路	202678	0.0782986020
282	接	202523	0.0782387224
283	城	202054	0.0780575382
284	活	201464	0.0778296093
285	保	200525	0.0774668547
286	结	200169	0.0773293247
287	题	199953	0.0772458795
288	却	198653	0.0767436633
289	指	193925	0.0749171415
290	感	193691	0.0748267425
291	难	192766	0.0744693964
292	量	192572	0.0743944503
293	务	192395	0.0743260716
294	治	192218	0.0742576929
295	取	189740	0.0733003915
296	场	189200	0.0730917786
297	思	188730	0.0729102081
298	电	188078	0.0726583274
299	空	187864	0.0725756548
300	边	187718	0.0725192521
301	统	187270	0.0723461807
302	件	186928	0.0722140591
303	期	186675	0.0721163201
304	克	185512	0.0716670298
305	帝	185402	0.0716245345
306	亲	184741	0.0713691769
307	复	184103	0.0711227046
308	住	183990	0.0710790505
309	请	183411	0.0708553711
310	市	182781	0.0706119893
311	六	182450	0.0704841174
312	放	181974	0.0703002290
313	风	180844	0.0698636872
314	资	180714	0.0698134655
315	求	180685	0.0698022622
